id,名称,住所,方書,電話番号,回収形態,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,事前連絡,備考,対象品目,latitude,longitude
13,中央区民センター,札幌市中央区南2条西10丁目,裏口入口右手奥,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可,不要,なし,古紙・リターナブルびん,43.056469,141.342545
14,読売センター円山,札幌市中央区南6条西21丁目2-17,なし,011-532-9311,古紙回収協力店,月火水木金土,9:00,20:00,祝日の利用時間は9:00～12:00。日曜、祝日の午後は利用不可。,必要,なし,古紙・リターナブルびん,43.050575,141.326782
15,ラルズマート啓明店,札幌市中央区南11条西21丁目4-21,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.043343,141.325729
16,ラルズマート山鼻店,札幌市中央区南12条西11丁目2-10,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.043205,141.342728
17,読売センター幌西,札幌市中央区南14条西13丁目2-32,なし,011-561-5551,古紙回収協力店,月火水木金土,10:00,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,43.040924,141.338196
18,ラルズマート16条店,札幌市中央区南16条西8丁目2-15,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,サービスカウンターに持ち込み,古紙・リターナブルびん,43.037865,141.348373
19,読売センター山鼻,札幌市中央区南18条西9丁目2-5,なし,011-511-3102,古紙回収協力店,月火水木金土日,9:00,20:00,日曜、祝日の利用時間は09:00～12:00。日曜、祝日の午後は利用不可,必要,なし,古紙・リターナブルびん,43.035275,141.347717
20,コープさっぽろあいの里店,札幌市北区あいの里1条5丁目2,なし,011-778-8247,古紙回収協力店,月火水木金土日,10:00,20:00,なし,不要,なし,古紙・リターナブルびん,43.157181,141.398102
21,東光ストアあいの里店,札幌市北区あいの里1条5丁目2-3,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.157181,141.398102
22,拓北・あいの里地区センター,札幌市北区あいの里1条6丁目,なし,なし,古紙回収ボックス,月火水木金土日,9:00,20:00,17:00以降は事務室に立ち寄り。12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.156437,141.401093
23,北海道エネルキ゛ー株式会社トップロードあいの里ステーション,札幌市北区あいの里2条1丁目20-3,なし,011-774-7544,古紙回収協力店,月火水木金土日,7:30,22:00,なし,不要,なし,古紙・リターナブルびん,43.15971,141.384369
24,北地区リサイクルセンター,札幌市北区あいの里2条6丁目1-10,廃棄物空気輸送センター内,011-211-2928,地区リサイクルセンター,火水木金土日,10:00,16:00,月曜が祝日の場合は開館し、翌平日が休館日。12/31～1/3は利用不可。,不要,電話はごみ減量推進担当課。,古紙・リターナブルびん,43.15873,141.400101
25,北区役所,札幌市北区北24条西6丁目,北区民センター向い側（裏口）,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.090538,141.34053
26,スーパーアークス北24条店,札幌市北区北24条西9丁目1-1,なし,011-708-0333,古紙回収協力店,月火水木金土日,10:00,22:00,日曜の利用時間は9:00～22:00。,不要,なし,古紙・リターナブルびん,43.089931,141.336044
27,新陽会館,札幌市北区北26条西15丁目4-8,なし,なし,エコボックス,月火水木金土日,9:00,19:00,祝日、お盆、正月は利用不可。,不要,なし,古紙・リターナブルびん,43.093807,141.325699
28,ヴェルビュ麻生,札幌市北区北35条西7丁目1-20,なし,なし,エコボックス,月火水木金土日,7:00,18:00,なし,不要,なし,古紙・リターナブルびん,43.103455,141.335373
29,パストラルハイム麻生2番館,札幌市北区北37条西8丁目2-30,なし,なし,エコボックス,月火水木金土日,9:00,16:30,土曜、日曜の利用時間は09:00～12:00。祝日、12/31～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.106331,141.334991
30,ラッキー篠路店,札幌市北区篠路3条4丁目1  ,なし,011-772-7111,古紙回収協力店,月火水木金土日,10:00,19:00,なし,不要,なし,古紙・リターナブルびん,43.144863,141.357971
31,篠路コミュニティセンター,札幌市北区篠路3条8丁目 ,正面入り口左手,なし,古紙回収ボックス,月火水木金土日,9:00,17:00,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.1441,141.367844
32,スーパーアークス　ノース,札幌市北区篠路3条9丁目2-15,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.143784,141.371292
33,八王子商会,札幌市北区篠路7条3丁目3-3,なし,011-772-5699,古紙回収協力店,月火水木金土,8:30,17:00,日曜、12/31～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.152676,141.356491
34,ヤマヨ小林商店,札幌市北区篠路町拓北31-114,なし,011-772-6402,古紙回収協力店,月火水木金土,8:00,17:00,日曜、祝日は利用不可。,不要,なし,古紙・リターナブルびん,43.145374,141.380753
35,北海紙管株式会社新川営業所,札幌市北区新川1条6丁目2-31,なし,011-763-3101,古紙回収協力店,月火水木金土日,6:30,18:30,なし,不要,なし,古紙・リターナブルびん,43.099594,141.311905
36,紙商事金藤商店,札幌市北区新川4条15丁目3-20,なし,090-8707-1061,古紙回収協力店,月火水木金土日,8:00,20:00,なし,必要,なし,古紙・リターナブルびん,43.113693,141.29895
37,北昭興業株式会社新川営業所,札幌市北区新川4条20丁目1-9,なし,011-769-3000,古紙回収協力店,月火水木金土日,8:00,18:00,1/1は利用不可。,必要,なし,古紙・リターナブルびん,43.117851,141.288483
38,株式会社エクセル商事,札幌市北区新琴似4条2丁目1-3,なし,011-374-1147,古紙回収協力店,月火水木金土日,9:00,17:00,8/14～8/16、12/31～1/3は利用不可。,必要,なし,古紙・リターナブルびん,43.105797,141.328964
39,ラッキー新琴似四番通店,札幌市北区新琴似8条10丁目1-22,なし,011-769-7777,古紙回収協力店,月火水木金土日,10:00,19:00,なし,不要,なし,古紙・リターナブルびん,43.119495,141.320847
40,榎本商店,札幌市北区新琴似10条7丁目4-12,なし,011-762-5177,古紙回収協力店,月火水木金土日,8:00,18:00,なし,必要,なし,古紙・リターナブルびん,43.120621,141.32872
41,前鼻商店,札幌市北区新琴似11条11丁目2-21,なし,011-762-0076,古紙回収協力店,月火水木金土,15:00,17:00,日曜は利用不可。,不要,なし,古紙・リターナブルびん,43.124119,141.325287
42,コウワ商会,札幌市北区新琴似795-19,なし,011-762-5277,古紙回収協力店,月水木金土日,8:00,17:00,火曜日、8/15～8/16、12/31～1/5は利用不可。,必要,なし,古紙・リターナブルびん,43.101543,141.327072
43,ビッグハウス太平店,札幌市北区太平4条1丁目3-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.129677,141.346481
44,岡田商店,札幌市北区太平9条2丁目1-31,なし,011-771-6435,古紙回収協力店,月火水木金土日,なし,なし,終日利用可能。,不要,なし,古紙・リターナブルびん,43.135273,141.350235
45,屯田地区センター,札幌市北区屯田5条6丁目,駐車場奥,なし,古紙回収ボックス,月火水木金土日,9:00,20:00,17:00以降は事務室に立ち寄り。12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.132214,141.331024
46,株式会社発新産業,札幌市北区屯田6条5丁目8-17,なし,011-772-5448,古紙回収協力店,月火水木金土,9:00,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,43.135704,141.335236
47,グリーンコート新川2棟,札幌市北区新川3条13丁目3-30,なし,なし,エコボックス,月火水木金土日,8:00,18:00,12/31～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.109734,141.300644
48,ビッグハウス新川店,札幌市北区新川6条14丁目1-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.113319,141.303925
49,スーパーアークスエクスプレス,札幌市北区新川西1条4丁目1-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.124317,141.278885
50,有限会社ミナミ商会（エコ・パレット丘珠）,札幌市東区丘珠町694-3,なし,011-788-1212,古紙回収協力店,月火水木金土日,9:00,18:00,なし,必要,なし,古紙・リターナブルびん,43.122738,141.394836
51,イトーヨーカドー　アリオ札幌店,札幌市東区北7条東9丁目2-20,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.072914,141.370392
52,スーパーアークス　苗穂店,札幌市東区北7条東18丁目2-10,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.074791,141.380753
53,東区役所,札幌市東区北11条東7丁目,建物の南西角（札幌駅方面）,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.076195,141.363708
54,スーパーアークス　光星店,札幌市東区北14条東3丁目1-30,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.078709,141.357635
55,足立金物店,札幌市東区北19条東1丁目1-24,足立ビル1階  ,011-741-0070,古紙回収協力店,月火水木金土,9:00,17:00,日曜は利用不可。,必要,なし,古紙・リターナブルびん,43.08411,141.351395
56,"アーヴァンエコシス株式会社
 （無料引取ドットコム）",札幌市東区北28条東21丁目2-13,なし,011-788-8888,古紙回収協力店,月火水木金土日,10:00,18:00,12/31～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.101147,141.383865
57,市営住宅北栄団地,札幌市東区北32条東2丁目1-31,なし,なし,エコボックス,月火水木金土日,9:00,18:00,12/31～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.100128,141.34964
58,元栄町内会コミュニティガーデン,札幌市東区北33条東13丁目3,なし,なし,エコボックス,月火水木金土日,9:00,17:00,12/30～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.10305,141.365265
59,有限会社東豊商会,札幌市東区北35条東15丁目1-5,なし,011-752-9713,古紙回収協力店,月火水木金土日,8:00,19:00,なし,不要,なし,古紙・リターナブルびん,43.105473,141.367447
60,ラルズマート北35条店,札幌市東区北35条東4丁目1-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.103458,141.351654
61,有限会社東原商店,札幌市東区北36条東29丁目6-5,なし,011-781-9653,古紙回収協力店,月火水木金土,9:00,17:00,日曜、祝日、12/31～1/3は利用不可。,必要,なし,古紙・リターナブルびん,43.100761,141.394669
62,有限会社朝日商会,札幌市東区北37条東19丁目1-23,なし,011-781-9455,古紙回収協力店,月水木金土日,9:00,16:00,火曜、8/14～8/16、12/31～1/6は利用不可。,不要,なし,古紙・リターナブルびん,43.109272,141.37439
63,ワークス翔,札幌市東区北42条東18丁目3-1,なし,011-776-7158,古紙回収協力店,月火水木金,9:00,17:00,土曜、日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,43.11462,141.37178
64,有限会社橋辺商店,札幌市東区北46条東8丁目6-22,なし,011-731-8010,古紙回収協力店,月火水木金土,8:00,17:00,日曜は利用不可。,必要,なし,古紙・リターナブルびん,43.117565,141.355469
65,ホクレンショップ49条店,札幌市東区北49条東15丁目723-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.121944,141.364105
66,栗原紙材株式会社,札幌市東区北丘珠4条3丁目8-5,なし,011-785-1110,古紙回収協力店,月火水木金土日,8:00,17:00,12/31～1/5は利用不可。,必要,なし,古紙・リターナブルびん,43.129791,141.40596
67,株式会社リサイクルエスピー札幌事業所,札幌市東区北丘珠4条3丁目8-7,なし,011-783-2432,古紙回収協力店,月火水木金土日,8:00,17:00,12/29～1/4は利用不可,必要,なし,古紙・リターナブルびん,43.129948,141.405838
68,北海道資源商事株式会社,札幌市東区苗穂町3丁目3-47,なし,011-741-1063,古紙回収協力店,月火水木金土日,7:00,17:00,なし,必要,なし,古紙・リターナブルびん,43.073269,141.383621
69,山田商店,札幌市東区中沼1条2丁目6-10,なし,011-791-6509,古紙回収協力店,月火水木金土日,8:00,17:00,なし,必要,なし,古紙・リターナブルびん,43.124653,141.44458
70,三協興産株式会社,札幌市東区中沼町15-88,なし,011-790-2588,古紙回収協力店,月火水木金土,9:00,17:00,日曜、祝日、第2土曜、お盆、年末年始は利用不可。,必要,なし,古紙・リターナブルびん,43.11618,141.431931
71,中沼西会館,札幌市東区中沼西3条1丁目1-15,なし,なし,エコボックス,月火水木金土日,10:00,17:00,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.129147,141.414322
72,株式会社鈴木商会札幌東事業所,札幌市東区東雁来町262,なし,011-875-3540 ,古紙回収協力店,月火水木金土,8:30,17:30,日曜、祝日、1～3月の土曜、8/14～8/15、12/29～12/31は利用不可,不要,なし,古紙・リターナブルびん,43.096565,141.44873
73,紙商サッポロ近石商店,札幌市東区東雁来町356-48,なし,011-299-5750,古紙回収協力店,月火水木金土,8:00,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,43.104729,141.437622
74,北昭興業株式会社札幌事業所,札幌市東区東雁来町394,なし,011-791-5051,古紙回収協力店,月火水木金土日,8:00,18:00,1/1は利用不可。,不要,なし,古紙・リターナブルびん,43.113007,141.429214
75,株式会社こんの札幌営業所,札幌市東区東雁来6条2丁目3-45,なし,011-784-6130,古紙回収協力店,月火水木金土日,8:30,17:30,1/1～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.088856,141.418396
76,ホクレンショップフードファーム　東苗穂店,札幌市東区東苗穂8条1丁目18-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.099606,141.408783
77,小沢商店,札幌市東区東苗穂12条3丁目3-25,なし,011-791-0219,古紙回収協力店,月火水木金土日,8:00,17:00,1/1～1/3は利用不可。,必要,なし,古紙・リターナブルびん,43.103077,141.422195
78,ラルズマート伏古店,札幌市東区伏古6条3丁目4-1 ,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.088127,141.393295
79,市営住宅丘珠団地,札幌市東区伏古14条3丁目12-3,なし,なし,エコボックス,月火水木金土日,9:00,18:00,なし,不要,なし,古紙・リターナブルびん,43.103336,141.403229
80,田口商店,札幌市白石区川北2252,なし,011-872-7004 ,古紙回収協力店,月火水木金土日,8:00,18:00,1/1～1/3は利用不可。,必要,なし,古紙・リターナブルびん,43.071846,141.437134
81,かつみや芦田商店,札幌市白石区川北2276-156,なし,080-3262-5524,古紙回収協力店,月火水木金土日,8:00,17:00,なし,必要,なし,古紙・リターナブルびん,43.068176,141.434967
82,ラルズマート　新ほくと店,札幌市白石区川下4条1丁目1-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.05228,141.441513
83,スーパーアークス　菊水店,札幌市白石区菊水3条5丁目2-25,なし,011-837-5757,古紙回収協力店,月火水木金土日,9:00,22:00,なし,必要,なし,古紙・リターナブルびん,43.053875,141.378693
84,藤田商店,札幌市白石区菊水9条1丁目2-32,なし,011-822-2547,古紙回収協力店,月火水木金土日,13:00,17:00,1/1～1/3は利用不可。,必要,なし,古紙・リターナブルびん,43.062199,141.381363
85,北海紙管株式会社菊水営業所,札幌市白石区菊水上町1条4丁目202-11,なし,011-841-4660,古紙回収協力店,月火水木金土日,7:30,18:30,なし,必要,なし,古紙・リターナブルびん,43.060333,141.390228
86,読売センター水穂,札幌市白石区菊水上町2条2丁目52-231,なし,011-299-9301,古紙回収協力店,月火水木金土,8:00,12:00,日曜、祝日は利用不可。,不要,なし,古紙・リターナブルびん,43.063618,141.386581
87,市営住宅菊水上町団地,札幌市白石区菊水上町4条1丁目135,なし,なし,エコボックス,月火水木金土日,9:00,17:00,祝日、お盆、年末年始は利用不可。,不要,なし,古紙・リターナブルびん,43.067146,141.390915
88,読売センター菊水元町,札幌市白石区菊水元町2条2丁目3-5,なし,011-874-3035,古紙回収協力店,月火水木金土,10:00,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,43.067669,141.400864
89,エコブル合同会社,札幌市白石区菊水元町3条1丁目1,なし,0133-27-6071,古紙回収協力店,月火水木金,9:00,17:00,土曜、日曜は利用不可。,必要,なし,古紙・リターナブルびん,43.069206,141.401062
90,ラッキー菊水元町店,札幌市白石区菊水元町3条2丁目2,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.068459,141.403076
91,有限会社リサイクルサービス,札幌市白石区菊水元町5条3丁目2-11,なし,011-879-3300,古紙回収協力店,月木金土日,10:30,19:30,火曜、水曜は利用不可。,不要,なし,古紙・リターナブルびん,43.068871,141.408463
92,有限会社ひがしリサイクルサービス,札幌市白石区北郷2357,なし,011-873-7770,古紙回収協力店,月火水木金土,9:00,17:00,日曜（事前連絡あれば可）、12/30～1/4は利用不可。,必要,なし,古紙・リターナブルびん,43.068275,141.430206
93,北郷会館,札幌市白石区北郷3条3丁目8-1,なし,なし,エコボックス,月火水木金土日,9:00,17:00,土曜、日曜の利用時間は09:00～12:00。祝日、年末年始は利用不可。,不要,なし,古紙・リターナブルびん,43.060993,141.412918
94,株式会社三洋産業,札幌市白石区北郷4条6丁目5-1  ,なし,011-827-8383,古紙回収協力店,月火水木金土,9:00,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,43.058334,141.423874
95,読売センター北郷,札幌市白石区北郷5条8丁目10-18,なし,011-872-3488,古紙回収協力店,月火水木金土,9:00,20:00,日曜は利用不可。,必要,なし,古紙・リターナブルびん,43.058121,141.427048
96,北海道エネルギー株式会社　トップロード栄通ステーション,札幌市白石区栄通14丁目1-3,なし,011-852-3133,古紙回収協力店,月火水木金土日,7:30,21:00,日曜、祝日の利用時間は08:00～20:00。,不要,なし,古紙・リターナブルびん,43.032185,141.419144
97,コープさっぽろ　ルーシー店,札幌市白石区栄通18丁目5-35  ,なし,011-854-4811,古紙回収協力店,月火水木金土日,10:00,20:00,なし,不要,なし,古紙・リターナブルびん,43.028027,141.43457
98,株式会社明石商店,札幌市白石区中央1条5丁目1-15,なし,011-822-8199,古紙回収協力店,月火水木金土,9:00,18:00,日曜、1/1～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.053223,141.396896
99,株式会社サクマ運輸倉庫,札幌市白石区中央2条2丁目1-12,なし,011-842-0022,古紙回収協力店,月火水木金,9:00,17:00,土曜、日曜、祝日は利用不可。,不要,なし,古紙・リターナブルびん,43.058723,141.394226
100,株式会社藤川紙業札幌支店,札幌市白石区中央2条4丁目5-25,なし,011-811-9538,古紙回収協力店,月火水木金土日,8:00,17:30,1/1～1/4は利用不可。,必要,なし,古紙・リターナブルびん,43.056717,141.398773
101,株式会社古山商店,札幌市白石区中央2条5丁目15-26,なし,011-861-3458,古紙回収協力店,月火水木金,9:00,17:00,土曜、日曜、祝日、8/13～8/16、12/29～1/4は利用不可。,不要,なし,古紙・リターナブルびん,43.056156,141.402222
102,白石ガーデンプレイス（白石区複合庁舎隣）,札幌市白石区南郷通1丁目南,契約車・荷捌・車椅子駐車場左手奥,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.044655,141.396484
103,読売センター東札幌,札幌市白石区東札幌1条4丁目2-6,信和ビル1階,011-817-3131,古紙回収協力店,月火水木金土,10:00,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,43.047863,141.386276
104,大川商店,札幌市白石区東札幌5条2丁目3-4,なし,011-813-3645,古紙回収協力店,月火水木金土日,なし,なし,終日利用可。,必要,なし,古紙・リターナブルびん,43.054642,141.388794
105,株式会社マテック札幌支店,札幌市白石区東米里2032-12  ,なし,011-873-0808,古紙回収協力店,月火水木金土,8:00,17:00,日曜、祝日、お盆、正月は利用不可。,必要,なし,古紙・リターナブルびん,43.089329,141.461578
106,ビッグハウス　白石店,札幌市白石区平和通3丁目北1-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.052673,141.410751
107,旭町内会館,札幌市白石区平和通10丁目北4-15,なし,なし,エコボックス,月火水木金土日,9:00,17:00,祝日、お盆、年末年始は利用不可。,不要,なし,古紙・リターナブルびん,43.046276,141.425446
108,株式会社丸升増田本店札幌平和通支店,札幌市白石区平和通11丁目北60,なし,011-864-0311,古紙回収協力店,月火水木金土日,8:30,17:00,12/31～1/4は利用不可。,不要,なし,古紙・リターナブルびん,43.046021,141.42894
109,読売センター白石,札幌市白石区本通5丁目南4-56,なし,011-864-1929 ,古紙回収協力店,月火水木金土,9:00,18:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,43.046024,141.411301
110,市営住宅本郷団地,札幌市白石区本通10丁目南11,なし,なし,エコボックス,月火水木金土日,9:00,17:00,祝日、お盆、正月は利用不可。,不要,なし,古紙・リターナブルびん,43.040531,141.420227
111,ダイイチ　白石神社前店,札幌市白石区本通13丁目北3-39,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.040421,141.427551
112,白石東地区センター,札幌市白石区本通16丁目南,正面入り口左手駐車場奥,なし,古紙回収ボックス,月火水木金土日,9:00,20:00,17:00以降は事務室に立ち寄り。12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.035454,141.431442
113,株式会社マテックマテックプラザ,札幌市白石区本通20丁目北1-10,なし,011-860-7000,古紙回収協力店,月火水木金土日,8:00,17:00,12～13時、12/30～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.033035,141.440231
114,北海道エネルギー株式会社　トップロード厚別ステーション,札幌市厚別区厚別中央3条2丁目16-1,なし,011-891-2543,古紙回収協力店,月火水木金土日,7:30,21:00,日曜、祝日の利用時間は08:00～20:00。,不要,なし,古紙・リターナブルびん,43.034134,141.458832
115,厚別地区リサイクルセンター,札幌市厚別区厚別東3条1丁目1-10,リユースプラザ内,011-211-2928,地区リサイクルセンター,火水木金土日,10:00,16:00,月曜が祝日の場合は開館し、翌平日が休館日。12/31～1/3は利用不可。,不要,電話はごみ減量推進担当課。,古紙・リターナブルびん,43.043533,141.477768
116,読売センター厚別東北通,札幌市厚別区厚別西2条4丁目4-15,なし,011-892-6332,古紙回収協力店,月火水木金土,11:00,18:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん,43.049721,141.467926
117,読売センター新さっぽろ,札幌市厚別区厚別南6丁目13-20,なし,011-891-8899,古紙回収協力店,月火水木金土,10:00,15:00,日曜、祝日、年末年始は利用不可。,必要,なし,古紙・リターナブルびん,43.020855,141.477646
118,読売センターもみじ台,札幌市厚別区もみじ台東4丁目2-8,なし,011-897-7395,古紙回収協力店,月火水木金土日,9:00,16:30,12/30～1/5は利用不可。,必要,なし,古紙・リターナブルびん,43.03014,141.498886
119,ホクノースーパー　もみじ台南店,札幌市厚別区もみじ台南6丁目,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.023384,141.500839
120,ホクノースーパー　中央店,札幌市厚別区もみじ台北7丁目,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.031071,141.492554
121,厚別区役所,札幌市厚別区厚別中央1条5丁目,正面入り口右手奥,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん,43.036041,141.472946
122,ホクノースーパー　新札幌店,札幌市厚別区厚別中央1条6丁目,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.038635,141.47554
123,ビッグハウス　イースト,札幌市厚別区厚別中央2条2丁目2-6,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.034355,141.459885
124,ホクノースーパー　厚別5条店,札幌市厚別区厚別中央5条6丁目,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.046833,141.471786
125,ホクノースーパー　厚別東2号店,札幌市厚別区厚別東2条4丁目,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん,43.043816,141.48642
